SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,InternetService_Fiber,InternetService_None,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AutoPay,NumServices,TenureBin,HighChargeFlag,Contract_x_Charge,Fiber_x_Charge,ChargesPerTenure,LogMonthlyCharges,LogTotalCharges,IsNewCustomer
0,0,0,52,1,0,0,0,0,0,0,0,1,0,20.65,1022.95,0,0,0,1,0,0,1,0,1,4,0,20.65,0.0,19.300943396226415,3.075005454448499,6.931422976282321,0
0,0,1,71,1,1,1,0,1,0,1,1,2,0,106.7,7382.25,0,1,1,0,0,0,0,1,6,4,1,213.4,106.7,102.53125,4.679349584162343,8.906969200059761,0
0,1,1,10,1,0,0,0,1,1,0,0,0,0,55.2,528.35,1,0,0,0,1,0,0,1,3,1,0,0.0,0.0,48.03181818181818,4.028916756899646,6.271649838789389,0
0,0,0,21,1,0,0,1,1,0,0,1,0,1,90.05,1862.9,0,0,1,0,0,1,0,0,4,2,1,0.0,90.05,84.67727272727274,4.511408806173617,7.530426345737758,0
1,0,0,1,0,0,0,0,1,0,0,1,0,1,39.65,39.65,1,1,0,0,0,1,0,0,2,0,0,0.0,0.0,19.825,3.7049988359938197,3.7049988359938197,1
0,1,0,12,1,0,0,0,0,0,0,0,1,0,19.8,202.25,0,1,0,1,0,0,0,1,1,1,0,19.8,0.0,15.557692307692308,3.0349529867072724,5.31443674842792,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.15,20.15,1,1,0,1,0,0,1,0,1,0,0,0.0,0.0,10.075,3.0516399054922867,3.0516399054922867,1
0,1,0,58,1,1,0,1,0,1,0,0,2,1,59.9,3505.1,0,0,0,0,1,0,0,1,4,4,0,119.8,0.0,59.40847457627118,4.109233174715851,8.16225958760722,0
0,1,1,49,1,0,1,1,0,1,0,0,0,0,59.6,2970.3,0,1,0,0,1,0,0,1,4,4,0,0.0,0.0,59.406000000000006,4.104294893075269,7.996754846467186,0
0,0,0,30,1,0,1,1,0,0,0,0,0,1,55.3,1530.6,0,0,0,0,0,0,0,1,3,3,0,0.0,0.0,49.37419354838709,4.030694535145645,7.3340682196031395,0
0,1,1,47,1,1,0,1,0,0,1,1,0,1,99.35,4749.15,1,1,1,0,0,1,0,0,5,4,1,0.0,99.35,98.940625,4.608664075242347,8.46593147547745,0
0,1,1,1,0,0,0,1,0,0,0,0,0,0,30.2,30.2,1,1,0,0,0,1,0,0,1,0,0,0.0,0.0,15.1,3.4404180948154366,3.4404180948154366,1
0,1,0,72,1,1,1,1,1,1,1,1,2,1,90.25,6369.45,0,1,0,0,1,0,0,1,8,4,1,180.5,0.0,87.2527397260274,4.513602992462601,8.759425389713137,0
0,0,1,17,1,0,0,0,0,0,1,1,0,1,64.7,1093.1,1,0,0,0,0,0,1,0,3,2,0,0.0,0.0,60.727777777777774,4.185098925490565,6.9976873864827445,0
1,1,0,71,1,1,1,1,1,1,0,0,2,1,96.35,6766.95,0,0,1,0,1,0,0,1,6,4,1,192.7,96.35,93.98541666666667,4.578312731818208,8.819953513551914,0
1,1,0,2,1,0,0,0,1,0,1,1,0,1,95.5,181.65,0,1,1,0,1,0,0,1,4,0,1,0.0,95.5,60.550000000000004,4.56954300834494,5.207571753241291,1
0,1,1,27,1,0,1,1,1,1,0,0,1,0,66.15,1874.45,0,0,0,0,0,0,1,0,5,3,0,66.15,0.0,66.94464285714285,4.206928922969246,7.536603909609118,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,20.2,0,1,0,1,0,0,0,1,1,0,0,0.0,0.0,10.1,3.054001181677967,3.054001181677967,1
1,0,0,1,1,0,0,0,0,0,0,0,0,0,45.25,45.25,0,1,0,0,0,0,0,1,1,0,0,0.0,0.0,22.625,3.834061463958434,3.834061463958434,1
0,1,1,72,1,1,1,1,0,1,1,0,2,0,99.9,7251.7,0,0,1,0,0,0,0,1,6,4,1,199.8,99.9,99.33835616438355,4.6141299273595635,8.88912909231302,0
0,0,0,5,1,0,0,0,0,0,0,0,0,1,69.7,316.9,1,1,1,0,0,1,0,0,1,0,0,0.0,69.7,52.81666666666666,4.258445572902527,5.761736867916757,1
0,0,0,46,1,0,0,0,1,0,0,0,0,1,74.8,3548.3,0,0,1,0,1,0,0,1,2,4,0,0.0,74.8,75.49574468085106,4.328098292648326,8.174505679927726,0
0,0,0,34,1,1,0,1,1,0,1,1,0,1,106.35,3549.25,1,1,1,0,0,1,0,0,6,3,1,0.0,106.35,101.40714285714286,4.67609452432479,8.174773302525123,0
0,0,0,11,1,1,0,0,1,0,1,1,0,1,97.85,1105.4,1,0,1,0,0,0,0,1,5,1,1,0.0,97.85,92.11666666666667,4.593603549616626,7.008866780350549,0
0,1,1,10,1,0,0,1,0,0,0,0,1,0,49.55,475.7,0,1,0,0,0,0,1,0,2,1,0,49.55,0.0,43.24545454545454,3.9229629454664803,6.16688736221078,0
0,1,1,70,1,1,1,1,0,0,1,0,2,1,69.2,4872.35,0,0,0,0,1,0,0,1,5,4,0,138.4,0.0,68.62464788732395,4.251348311031766,8.491536864602452,0
0,1,1,17,1,0,0,0,0,0,0,0,1,0,20.75,418.25,0,0,0,1,0,0,1,0,1,2,0,20.75,0.0,23.23611111111111,3.079613757534693,6.038467400703318,0
0,0,0,63,1,1,1,1,1,1,1,0,2,1,79.85,4861.45,0,0,0,0,1,0,0,1,7,4,0,159.7,0.0,75.96015625,4.392595586023115,8.489297705097483,0
0,1,0,13,1,1,1,1,0,1,1,0,0,1,76.2,981.45,0,0,0,0,0,1,0,0,6,2,0,0.0,0.0,70.10357142857143,4.3463994570307305,6.890049451863205,0
0,0,0,49,1,1,0,0,0,0,0,1,0,1,84.5,3906.7,0,0,1,0,0,1,0,0,3,4,0,0.0,84.5,78.134,4.448516375942715,8.270704244607035,0
0,0,0,2,1,0,0,1,0,0,0,0,0,0,49.25,97.0,0,1,0,0,0,0,1,0,2,0,0,0.0,0.0,32.333333333333336,3.917010546939185,4.584967478670572,1
0,0,0,2,1,0,0,0,0,0,1,0,0,1,80.65,144.15,1,0,1,0,0,1,0,0,2,0,0,0.0,80.65,48.050000000000004,4.402441819416474,4.977767690470639,1
0,0,0,52,1,1,1,0,0,1,1,1,2,1,79.75,4217.8,0,1,0,0,1,0,0,1,6,4,0,159.5,0.0,79.5811320754717,4.391357962102766,8.347306006402459,0
0,1,1,69,1,1,1,0,1,1,0,0,2,1,64.15,4254.1,0,0,0,0,1,0,0,1,5,4,0,128.3,0.0,60.77285714285715,4.176692303570854,8.355873542493944,0
1,0,0,43,1,1,0,1,0,0,1,0,0,1,90.25,3838.75,0,0,1,0,0,1,0,0,4,4,1,0.0,90.25,87.24431818181819,4.513602992462601,8.253162539295738,0
0,0,0,15,1,0,1,1,0,0,1,1,0,1,99.1,1426.4,1,0,1,0,1,0,0,1,5,2,1,0.0,99.1,89.15,4.6061696863211745,7.263609886536967,0
1,1,0,25,1,1,1,0,0,1,1,0,0,1,69.5,1752.65,0,0,0,0,1,0,0,1,5,3,0,0.0,0.0,67.40961538461539,4.255612709818223,7.4694546091209375,0
1,1,0,8,1,1,0,1,0,0,0,0,0,1,80.65,633.3,1,0,1,0,1,0,0,1,3,1,0,0.0,80.65,70.36666666666666,4.402441819416474,6.4525220286398515,0
1,1,1,60,1,0,1,1,1,1,0,1,1,1,74.85,4456.35,0,0,0,0,1,0,0,1,6,4,0,74.85,0.0,73.05491803278689,4.328757705794541,8.402309698021336,0
1,0,0,18,1,1,0,0,0,0,1,1,0,1,95.45,1752.55,1,1,1,0,0,1,0,0,4,2,1,0.0,95.45,92.23947368421052,4.569024739351738,7.4693975835734765,0
0,1,1,63,1,1,1,0,0,0,1,1,1,1,99.65,6311.2,0,0,1,0,1,0,0,1,5,4,1,99.65,99.65,98.6125,4.611649152085801,8.750239547701803,0
1,1,1,66,1,1,0,1,1,1,1,1,1,1,108.45,7076.35,0,1,1,0,0,1,0,0,7,4,1,108.45,108.45,105.61716417910448,4.695467823968872,8.864654822837052,0
0,1,1,34,1,1,0,0,0,0,0,0,2,0,24.95,894.3,0,0,0,1,1,0,0,1,2,3,0,49.9,0.0,25.55142857142857,3.2561716096118976,6.7971588576401105,0
0,0,0,72,1,1,0,0,1,1,1,1,2,1,107.5,7853.7,0,0,1,0,1,0,0,1,6,4,1,215.0,107.5,107.58493150684932,4.686750172980514,8.968867357726134,0
0,1,0,47,1,1,0,0,1,0,1,1,0,1,100.5,4707.1,0,0,1,0,0,1,0,0,5,4,1,0.0,100.5,98.06458333333335,4.620058798481842,8.457039708596394,0
0,0,0,60,1,1,0,1,0,0,1,0,0,1,89.9,5450.7,0,1,1,0,0,0,0,1,4,4,1,0.0,89.9,89.35573770491803,4.509760001183433,8.603682765623805,0
0,1,0,72,0,0,1,1,1,0,0,0,2,0,42.1,2962.0,0,1,0,0,0,0,0,1,3,4,0,84.2,0.0,40.57534246575342,3.763522997109702,7.993957547573565,0
0,1,1,18,1,0,0,0,1,1,0,0,1,1,54.4,957.1,0,0,0,0,1,0,0,1,3,2,0,54.4,0.0,50.373684210526314,4.014579593753238,6.864952156656828,0
0,0,0,9,1,1,0,0,0,0,1,1,0,0,94.4,857.25,1,0,1,0,0,1,0,0,4,1,1,0.0,94.4,85.725,4.558078578454241,6.754895432337801,0
0,0,0,3,1,0,0,1,0,1,1,1,0,1,75.3,244.1,0,0,0,0,0,1,0,0,5,0,0,0.0,0.0,61.025,4.334672938290411,5.501666290534067,1
0,1,0,47,1,1,0,1,0,0,0,0,1,1,78.9,3650.35,0,1,1,0,0,1,0,0,3,4,0,78.9,78.9,76.04895833333333,4.380775852772229,8.202852241207772,0
0,0,0,31,1,0,0,1,1,1,1,1,2,0,79.2,2497.2,0,0,0,0,0,0,1,0,6,3,0,158.4,0.0,78.0375,4.384523514872469,7.823325751531809,0
0,1,1,50,1,0,0,0,0,0,0,0,2,0,20.15,930.9,0,0,0,1,0,0,0,1,1,4,0,40.3,0.0,18.25294117647059,3.0516399054922867,6.83722551279161,0
0,0,0,10,1,0,1,0,1,0,0,0,0,1,79.85,887.35,0,1,1,0,0,0,1,0,3,1,0,0.0,79.85,80.66818181818182,4.392595586023115,6.789365809481915,0
0,0,0,1,1,0,0,0,0,1,0,0,0,0,49.05,49.05,0,1,0,0,0,0,1,0,2,0,0,0.0,0.0,24.525,3.9130225057612296,3.9130225057612296,1
0,1,1,52,1,0,0,0,0,0,0,0,1,1,20.4,1090.65,0,0,0,1,0,1,0,0,1,4,0,20.4,0.0,20.578301886792456,3.0633909220278057,6.995445592109125,0
1,1,1,64,1,1,1,0,1,1,1,1,2,1,111.6,7099.0,0,1,1,0,0,0,0,1,7,4,1,223.2,111.6,109.21538461538462,4.72384171570559,8.867850063029406,0
0,1,1,62,1,1,0,0,0,0,0,0,2,1,24.25,1424.6,0,1,0,1,0,0,0,1,2,4,0,48.5,0.0,22.61269841269841,3.228826155721369,7.262348056716545,0
0,0,1,3,1,0,1,0,0,1,0,1,0,1,64.5,177.4,0,0,0,0,0,0,0,1,4,0,0,0.0,0.0,44.35,4.182050142641207,5.184028220145909,1
1,0,0,56,1,1,1,1,1,0,1,1,1,0,110.5,6139.5,0,0,1,0,0,1,0,0,7,4,1,110.5,110.5,107.71052631578948,4.7140245909001735,8.722661451050438,0
0,0,0,46,1,0,0,0,0,0,0,1,1,0,55.65,2688.85,0,0,0,0,1,0,0,1,2,4,0,55.65,0.0,57.2095744680851,4.036891987474015,7.8972407089593375,0
0,1,1,8,1,0,1,1,0,0,0,0,0,0,54.65,482.25,0,0,0,0,0,0,1,0,3,1,0,0.0,0.0,53.583333333333336,4.019082077721554,6.18053411808844,0
1,0,0,30,1,0,1,1,0,0,1,1,0,1,74.75,2111.3,0,1,0,0,0,1,0,0,5,3,0,0.0,0.0,68.10645161290323,4.327438444389479,7.655532680193197,0
0,1,1,45,1,1,0,0,0,0,0,0,1,1,25.9,1216.6,0,0,0,1,1,0,0,1,2,4,0,25.9,0.0,26.44782608695652,3.292126286607793,7.104636987107422,0
0,0,1,1,1,0,0,0,0,0,1,0,0,1,79.35,79.35,1,0,1,0,0,1,0,0,2,0,0,0.0,79.35,39.675,4.386392092183521,4.386392092183521,1
0,1,1,11,0,0,1,0,0,0,1,1,0,0,50.55,565.35,0,0,0,0,0,1,0,0,3,1,0,0.0,0.0,47.112500000000004,3.942552210462969,6.339212261646723,0
0,1,0,7,1,0,0,0,1,0,0,0,0,1,75.15,496.9,1,0,1,0,0,0,0,1,2,1,0,0.0,75.15,62.1125,4.332705079341171,6.210399253648137,0
0,0,0,42,1,0,0,1,1,1,1,1,0,1,103.8,4327.5,0,0,1,0,0,0,0,1,6,4,1,0.0,103.8,100.63953488372093,4.6520537718869415,8.372976340655828,0
0,1,0,49,1,0,0,0,0,0,0,0,2,1,20.15,973.35,0,0,0,1,0,0,0,1,1,4,0,40.3,0.0,19.467,3.0516399054922867,6.881770582010144,0
0,0,0,9,1,1,0,1,0,0,1,1,0,1,99.3,918.75,0,1,1,0,1,0,0,1,5,1,1,0.0,99.3,91.875,4.60816569496789,6.824101893984884,0
0,1,0,35,1,0,1,0,0,0,1,0,1,1,62.15,2215.45,0,0,0,0,0,0,0,1,3,3,0,62.15,0.0,61.540277777777774,4.1455128487965,7.703662095843597,0
0,1,1,48,1,0,0,0,0,0,0,0,2,0,20.65,1057.0,0,0,0,1,0,0,0,1,1,4,0,41.3,0.0,21.571428571428573,3.075005454448499,6.964135612418245,0
0,1,1,46,1,0,0,0,0,0,0,0,2,1,19.95,927.1,0,0,0,1,0,0,1,0,1,4,0,39.9,0.0,19.72553191489362,3.0421386463681466,6.833139485601347,0
0,1,0,29,0,0,0,0,0,0,1,0,0,0,33.75,1009.25,0,1,0,0,0,0,1,0,1,3,0,0.0,0.0,33.641666666666666,3.548179572010801,6.917953103958583,0
0,1,1,30,1,0,0,1,1,0,0,0,0,0,82.05,2570.2,0,1,1,0,0,0,0,1,3,3,0,0.0,82.05,82.90967741935484,4.419442836059304,7.852127994983248,0
1,0,0,1,1,0,0,0,0,1,0,0,0,0,74.7,74.7,0,1,1,0,0,1,0,0,2,0,0,0.0,74.7,37.35,4.3267781604434035,4.3267781604434035,1
0,1,1,66,1,1,1,0,1,1,1,1,2,1,84.0,5714.25,0,1,0,0,0,0,1,0,7,4,0,168.0,0.0,85.28731343283582,4.442651256490317,8.65089331980408,0
0,0,0,65,1,1,1,1,1,0,1,1,0,1,111.05,7107.0,0,0,1,0,1,0,0,1,7,4,1,0.0,111.05,107.68181818181819,4.718945200246936,8.868976189274543,0
0,0,0,72,1,1,0,1,1,0,1,1,2,1,100.9,7459.05,0,1,1,0,0,0,0,1,6,4,1,201.8,100.9,102.17876712328767,4.623991940228679,8.917317395588213,0
0,0,0,12,1,1,1,0,0,0,0,0,0,1,78.95,927.35,1,0,1,0,0,1,0,0,3,1,0,0.0,78.95,71.33461538461539,4.381401439279963,6.83340881685348,0
0,1,1,71,1,1,1,1,0,1,0,0,1,1,66.85,4748.7,0,1,0,0,1,0,0,1,5,4,0,66.85,0.0,65.95416666666667,4.217299386280878,8.465836737139407,0
0,0,0,5,1,0,0,0,0,0,0,0,0,0,21.05,113.85,1,1,0,1,0,0,1,0,1,0,0,0.0,0.0,18.974999999999998,3.093312601892855,4.743626929135107,1
0,0,0,52,1,0,0,0,0,0,0,0,2,0,21.0,1107.2,0,1,0,1,0,0,0,1,1,4,0,42.0,0.0,20.89056603773585,3.091042453358316,7.010492356433249,0
1,1,0,25,1,0,0,1,1,0,1,1,0,1,98.5,2514.5,1,0,1,0,0,1,0,0,5,3,1,0.0,98.5,96.71153846153847,4.600157644164547,7.830226869931373,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,20.2,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,10.1,3.054001181677967,3.054001181677967,1
0,1,1,1,1,0,0,0,0,0,0,0,0,0,19.45,19.45,0,0,0,1,0,1,0,0,1,0,0,0.0,0.0,9.725,3.017982882488811,3.017982882488811,1
0,0,0,38,1,1,0,0,1,1,1,0,1,0,95.0,3605.6,0,1,1,0,0,0,0,1,5,4,1,95.0,95.0,92.45128205128205,4.564348191467836,8.190520779273172,0
1,1,0,66,0,0,0,1,1,0,1,0,1,0,45.55,3027.25,0,0,0,0,0,0,0,1,3,4,0,45.55,0.0,45.18283582089552,3.840527003723076,8.015740173896912,0
0,1,0,68,1,1,0,1,1,1,1,1,2,1,110.0,7611.85,1,1,1,0,0,0,0,1,7,4,1,220.0,110.0,110.31666666666668,4.709530201312334,8.937592887972736,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,24.3,100.2,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,16.7,3.2308043957334744,4.617098756853365,1
0,1,1,72,1,1,1,1,0,0,1,1,1,1,104.15,7303.05,0,0,1,0,0,1,0,0,6,4,1,104.15,104.15,100.04178082191781,4.655387902148709,8.896184267815448,0
0,0,0,32,0,0,1,0,0,0,0,0,1,0,30.15,927.65,0,0,0,0,0,0,1,0,1,3,0,30.15,0.0,28.11060606060606,3.4388142452334622,6.833731918633351,0
0,0,0,43,1,1,0,0,0,0,1,1,1,0,94.35,3921.3,0,1,1,0,0,0,1,0,4,4,1,94.35,94.35,89.12045454545455,4.557554332046428,8.274433495416885,0
0,1,1,72,1,0,0,0,0,0,0,0,2,0,19.4,1363.25,0,1,0,1,1,0,0,1,1,4,0,38.8,0.0,18.674657534246574,3.0155349008501706,7.218360106066341,0
0,1,0,55,1,1,1,1,0,0,1,0,0,1,96.75,5238.9,1,1,1,0,0,1,0,0,5,4,1,0.0,96.75,93.55178571428571,4.582413198865475,8.564057693163521,0
0,0,0,52,1,0,1,0,1,1,0,0,1,0,57.95,3042.25,0,0,0,0,1,0,0,1,4,4,0,57.95,0.0,57.40094339622642,4.07668962698338,8.020681302289706,0
0,0,0,43,1,0,0,1,1,0,1,0,0,1,91.65,3954.1,0,0,1,0,0,1,0,0,4,4,1,0.0,91.65,89.86590909090908,4.528828952731369,8.282761164332172,0
1,1,0,37,1,1,0,0,0,0,0,0,0,1,76.5,2868.15,1,0,1,0,0,1,0,0,2,4,0,0.0,76.5,75.47763157894737,4.350277936359301,7.961771097640099,0
0,1,1,64,0,0,0,1,0,1,1,1,2,1,54.6,3423.5,0,0,0,0,0,1,0,0,4,4,0,109.2,0.0,52.66923076923077,4.018183201256536,8.13871075463796,0
0,1,1,3,1,0,1,1,0,0,1,0,0,0,89.85,248.4,0,1,1,0,0,1,0,0,4,0,0,0.0,89.85,62.1,4.50920979484218,5.519058033245936,1
0,0,0,36,0,0,1,0,0,0,0,0,2,0,31.05,1126.35,0,0,0,0,0,0,0,1,1,3,0,62.1,0.0,30.44189189189189,3.467297183366679,7.027625024832521,0
0,1,1,10,1,1,1,0,0,0,1,1,0,1,100.25,1064.65,1,0,1,0,0,1,0,0,5,1,1,0.0,100.25,96.78636363636365,4.617592705986649,6.971340220607248,0
0,0,0,41,1,0,0,0,0,0,0,0,2,0,20.65,835.15,0,0,0,1,0,0,1,0,1,4,0,41.3,0.0,19.88452380952381,3.075005454448499,6.728808022827132,0
0,1,1,27,1,1,0,1,0,1,0,0,0,1,85.2,2151.6,0,1,1,0,1,0,0,1,4,3,0,0.0,85.2,76.84285714285714,4.456670177669648,7.674431692830198,0
0,1,1,56,1,1,0,0,1,0,1,1,1,1,99.8,5515.45,0,0,1,0,1,0,0,1,5,4,1,99.8,99.8,96.76228070175438,4.613138355637268,8.615489816441348,0
0,0,0,6,1,0,0,0,0,0,0,0,0,0,20.7,112.75,0,0,0,1,0,0,1,0,1,0,0,0.0,0.0,16.107142857142858,3.077312260546414,4.7340030578310595,1
0,0,0,3,1,1,0,0,0,0,0,0,0,1,74.4,229.55,1,1,1,0,0,1,0,0,2,0,0,0.0,74.4,57.3875,4.32280727501391,5.440467758652715,1
0,1,1,7,1,0,1,0,0,0,0,0,0,0,50.7,350.35,0,0,0,0,0,0,1,0,2,1,0,0.0,0.0,43.79375,3.9454577815143836,5.861782877638206,0
0,1,1,4,1,0,0,0,0,0,0,0,0,0,20.85,62.9,0,0,0,1,0,0,1,0,1,0,0,0.0,0.0,12.58,3.084200921541599,4.157319361383489,1
0,0,0,33,1,0,1,0,0,1,1,0,2,1,88.95,3027.65,0,1,1,0,0,1,0,0,4,3,0,177.9,88.95,89.0485294117647,4.499253960396542,8.015872254664492,0
1,0,0,27,1,1,0,0,1,0,0,0,0,1,78.05,2135.5,1,0,1,0,0,1,0,0,3,3,0,0.0,78.05,76.26785714285714,4.370080563655481,7.66692425508408,0
0,1,0,72,1,1,0,0,0,0,0,0,2,1,23.55,1723.95,0,1,0,1,0,0,0,1,2,4,0,47.1,0.0,23.615753424657534,3.2007118542405295,7.452953343538126,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.75,19.75,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,9.875,3.0325462466767075,3.0325462466767075,1
1,0,0,71,0,0,1,1,0,0,1,1,1,1,56.45,3985.35,0,1,0,0,0,1,0,0,4,4,0,56.45,0.0,55.35208333333333,4.050915004294764,8.290631304243542,0
0,0,0,13,1,1,0,0,0,0,0,1,0,1,85.95,1215.65,0,0,1,0,0,1,0,0,3,2,0,0.0,85.95,86.83214285714287,4.465333240800292,7.103856459184463,0
0,1,1,25,0,0,1,1,1,0,1,1,0,1,58.6,1502.65,1,0,0,0,1,0,0,1,5,3,0,0.0,0.0,57.79423076923077,4.087655574071304,7.315650764662011,0
0,0,0,67,1,0,0,0,0,1,0,0,2,0,50.55,3260.1,0,1,0,0,0,0,0,1,2,4,0,101.1,0.0,47.942647058823525,3.942552210462969,8.089819840759192,0
0,0,0,1,0,0,0,0,0,0,0,1,0,1,35.45,35.45,1,1,0,0,0,1,0,0,1,0,0,0.0,0.0,17.725,3.5959414584546674,3.5959414584546674,1
0,0,0,2,1,0,0,0,0,0,0,0,0,0,44.35,81.25,1,1,0,0,0,1,0,0,1,0,0,0.0,0.0,27.083333333333332,3.814410176561146,4.409763389645481,1
0,0,0,43,1,1,0,0,0,0,0,0,2,1,25.7,1188.2,0,0,0,1,1,0,0,1,2,4,0,51.4,0.0,27.004545454545454,3.2846635654062037,7.081036091123942,0
0,0,0,23,1,0,1,0,0,0,0,0,0,1,75.0,1778.5,0,0,1,0,0,0,0,1,2,2,0,0.0,75.0,74.10416666666667,4.330733340286331,7.484087704950247,0
0,1,1,64,1,0,0,0,0,0,0,0,2,0,20.2,1277.75,0,0,0,1,0,0,1,0,1,4,0,40.4,0.0,19.657692307692308,3.054001181677967,7.153638317265837,0
0,0,1,57,1,0,0,0,0,0,0,0,2,1,19.6,1170.55,0,1,0,1,0,0,1,0,1,4,0,39.2,0.0,20.181896551724137,3.0252910757955354,7.0660829373614416,0
1,1,0,1,1,0,0,0,0,0,0,0,0,1,70.45,70.45,1,0,1,0,0,0,1,0,1,0,0,0.0,70.45,35.225,4.268997904375876,4.268997904375876,1
1,1,1,72,1,1,1,1,1,1,1,1,2,1,88.05,6425.65,0,0,0,0,1,0,0,1,8,4,0,176.1,0.0,88.02260273972603,4.489198009735671,8.768208686132068,0
0,0,0,8,1,1,1,0,0,1,0,1,0,0,71.15,563.65,1,0,0,0,0,1,0,0,5,1,0,0.0,0.0,62.62777777777777,4.27874728521988,6.33620607016968,0
0,1,0,61,1,1,0,1,0,0,1,1,2,1,101.05,5971.25,0,0,1,0,0,0,0,1,5,4,1,202.1,101.05,96.31048387096774,4.625462889255854,8.694879019805663,0
0,0,0,64,1,1,1,1,0,0,0,0,1,1,84.3,5289.05,0,1,1,0,1,0,0,1,4,4,0,84.3,84.3,81.37,4.446174454497633,8.573582976603518,0
1,1,0,71,1,1,0,0,0,0,0,0,2,0,23.95,1756.2,0,1,0,1,0,0,0,1,2,4,0,47.9,0.0,24.391666666666666,3.2168738221975275,7.4714769121016245,0
0,1,1,65,1,1,1,1,0,1,1,0,2,1,99.05,6416.7,0,0,1,0,1,0,0,1,6,4,1,198.1,99.05,97.22272727272727,4.605670061029742,8.766815077043479,0
